timestamp_ms,timestamp_iso,source,id,cardinality,address,rssi,x,y,z,notes
1781801956275,"2026-06-18T18:59:16.275+0200","beacon","","-1","F3:6E:C9:45:67:45","-100","","","","protocol=; name=arrive_emi1; serviceData={00005242-0000-1000-8000-00805f9b34fb=4164F36EC94567450206060000}; manufacturerData=0xFFFF:0215FDA50693A4E24FB1AFCFC6EB07647825271B4CB9C9; adv=0201061AFFFFFF0215FDA50693A4E24FB1AFCFC6EB07647825271B4CB9C90D096172726976655F656D693100101642524164F36EC9456745020606000000"
1781801956277,"2026-06-18T18:59:16.277+0200","beacon","","-1","4C:45:9D:C2:0C:63","-87","","","","protocol=; name=LE_WH-1000XM5; serviceData=; manufacturerData=0x012D:130001947F0F001201510100009B84C099; adv=03022AFD14FF2D01130001947F0F001201510100009B84C0990E094C455F57482D31303030584D3500000000000000000000000000000000000000000000"
1781801956278,"2026-06-18T18:59:16.278+0200","beacon","","-1","15:CE:13:72:A3:78","-98","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:01092022F1EC6FED8BD79087456EA41886BF8972DA070ADA97FBFB; adv=1EFF060001092022F1EC6FED8BD79087456EA41886BF8972DA070ADA97FBFB00000000000000000000000000000000000000000000000000000000000000"
1781801956280,"2026-06-18T18:59:16.280+0200","beacon","","-1","47:EB:4B:B0:E6:DB","-91","","","","protocol=; name=; serviceData=; manufacturerData=0x004C:07190119200B988F1100091868F0FB7FE8F885A363DDB735E6C6EE; adv=1EFF4C0007190119200B988F1100091868F0FB7FE8F885A363DDB735E6C6EE00000000000000000000000000000000000000000000000000000000000000"
1781801956281,"2026-06-18T18:59:16.281+0200","beacon","","-1","24:26:33:40:37:73","-42","","","","protocol=; name=; serviceData={0000fef3-0000-1000-8000-00805f9b34fb=4A1723475034551132FE4F98C27130C8178D86C00B5AF3F1F9A126}; manufacturerData=; adv=1E16F3FE4A1723475034551132FE4F98C27130C8178D86C00B5AF3F1F9A12600000000000000000000000000000000000000000000000000000000000000"
1781801956284,"2026-06-18T18:59:16.284+0200","beacon","","-1","30:51:19:A7:79:E1","-89","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:01092022089997C5F9853C5C41545EE55F84ECA7B36D925FDCC601; adv=1EFF060001092022089997C5F9853C5C41545EE55F84ECA7B36D925FDCC60100000000000000000000000000000000000000000000000000000000000000"
1781801956288,"2026-06-18T18:59:16.288+0200","beacon","","-1","5A:41:71:9F:3C:48","-91","","","","protocol=; name=; serviceData=; manufacturerData=0x004C:090813960A0A82831B581608001F90159F3C5423; adv=02011A17FF4C00090813960A0A82831B581608001F90159F3C54230000000000000000000000000000000000000000000000000000000000000000000000"
1781801956292,"2026-06-18T18:59:16.292+0200","beacon","","-1","31:C2:83:81:DA:DF","-39","","","","protocol=; name=; serviceData={0000fcf1-0000-1000-8000-00805f9b34fb=04FED186A2C0C48EDECAB03514DE98F97C8C1876681A}; manufacturerData=; adv=0201021916F1FC04FED186A2C0C48EDECAB03514DE98F97C8C1876681A000000000000000000000000000000000000000000000000000000000000000000"
1781801956293,"2026-06-18T18:59:16.293+0200","beacon","","-1","59:47:89:07:9A:06","-91","","","","protocol=; name=; serviceData=; manufacturerData=0x004C:1006051907726648; adv=02011A020A0C0BFF4C0010060519077266480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
1781801956301,"2026-06-18T18:59:16.301+0200","beacon","","-1","2C:27:EE:FB:C2:30","-105","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:0109202278B4C281000AADFFAF71703B049F4B44D5DB6AE9B52E83; adv=1EFF06000109202278B4C281000AADFFAF71703B049F4B44D5DB6AE9B52E8300000000000000000000000000000000000000000000000000000000000000"
1781801956311,"2026-06-18T18:59:16.311+0200","beacon","","-1","4C:45:9D:C2:0C:63","-87","","","","protocol=; name=LE_WH-1000XM5; serviceData={0000fe2c-0000-1000-8000-00805f9b34fb=007007D15914794F6A21F49A}; manufacturerData=0x012D:04000202B0310701C7A60A822310020033230000; adv=020AF00F162CFE007007D15914794F6A21F49A030282FD17FF2D0104000202B0310701C7A60A822310020033230000000000000000000000000000000000"
1781801956314,"2026-06-18T18:59:16.314+0200","beacon","","-1","34:C7:F6:5F:9B:5B","-92","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:01092022B7D473980E66D8C110882DC0A02C3CC2250C086EAC64B1; adv=1EFF060001092022B7D473980E66D8C110882DC0A02C3CC2250C086EAC64B100000000000000000000000000000000000000000000000000000000000000"
1781801956835,"2026-06-18T18:59:16.835+0200","beacon","","-1","27:54:A0:77:2D:EF","-90","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:01092022D377D9F980187132FCDF795611D2606C09C8EE30F72E95; adv=1EFF060001092022D377D9F980187132FCDF795611D2606C09C8EE30F72E9500000000000000000000000000000000000000000000000000000000000000"
1781801956841,"2026-06-18T18:59:16.841+0200","beacon","","-1","3B:3A:81:39:C5:26","-76","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:01092022FF33FDDF0652B8E3B861C27260464FB7C1C4A89CF6D5CF; adv=1EFF060001092022FF33FDDF0652B8E3B861C27260464FB7C1C4A89CF6D5CF00000000000000000000000000000000000000000000000000000000000000"
1781801956845,"2026-06-18T18:59:16.845+0200","beacon","","-1","32:16:B1:B0:D6:4D","-102","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:01092022304BC0199C10CDFA4AD3C734549BA0990DC73339AF1BB0; adv=1EFF060001092022304BC0199C10CDFA4AD3C734549BA0990DC73339AF1BB000000000000000000000000000000000000000000000000000000000000000"
1781801956849,"2026-06-18T18:59:16.849+0200","beacon","","-1","47:EB:4B:B0:E6:DB","-95","","","","protocol=; name=; serviceData=; manufacturerData=0x004C:07190119200B988F1100091868F0FB7FE8F885A363DDB735E6C6EE; adv=1EFF4C0007190119200B988F1100091868F0FB7FE8F885A363DDB735E6C6EE00000000000000000000000000000000000000000000000000000000000000"
1781801956851,"2026-06-18T18:59:16.851+0200","beacon","","-1","F7:20:56:9D:E9:D4","-103","","","","protocol=; name=arrive_emi4; serviceData={00005242-0000-1000-8000-00805f9b34fb=4164F720569DE9D40206060000}; manufacturerData=0xFFFF:0215FDA50693A4E24FB1AFCFC6EB07647825271B4CB9C9; adv=0201061AFFFFFF0215FDA50693A4E24FB1AFCFC6EB07647825271B4CB9C90D096172726976655F656D693400101642524164F720569DE9D4020606000000"
1781801956853,"2026-06-18T18:59:16.853+0200","beacon","","-1","34:C7:F6:5F:9B:5B","-94","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:01092022B7D473980E66D8C110882DC0A02C3CC2250C086EAC64B1; adv=1EFF060001092022B7D473980E66D8C110882DC0A02C3CC2250C086EAC64B100000000000000000000000000000000000000000000000000000000000000"
1781801956855,"2026-06-18T18:59:16.855+0200","beacon","","-1","31:C2:83:81:DA:DF","-39","","","","protocol=; name=; serviceData={0000fcf1-0000-1000-8000-00805f9b34fb=04FED186A2C0C48EDECAB03514DE98F97C8C1876681A}; manufacturerData=; adv=0201021916F1FC04FED186A2C0C48EDECAB03514DE98F97C8C1876681A000000000000000000000000000000000000000000000000000000000000000000"
1781801956857,"2026-06-18T18:59:16.857+0200","beacon","","-1","6B:A7:E2:45:30:1F","-98","","","","protocol=; name=; serviceData=; manufacturerData=0x004C:0908130FC00000021B58160800FD170BB70750B0; adv=02011A17FF4C000908130FC00000021B58160800FD170BB70750B00000000000000000000000000000000000000000000000000000000000000000000000"
1781801956859,"2026-06-18T18:59:16.859+0200","beacon","","-1","1D:30:E6:65:80:51","-96","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:01092022E8BF62E30228B9C7E3731956C4A47C42BAC85AA6EB2916; adv=1EFF060001092022E8BF62E30228B9C7E3731956C4A47C42BAC85AA6EB291600000000000000000000000000000000000000000000000000000000000000"
1781801956860,"2026-06-18T18:59:16.860+0200","beacon","","-1","00:13:43:6A:C0:F6","-91","","","","protocol=; name=Presence relay; serviceData=; manufacturerData=0x04E9:05010C000104680119; adv=02010605030A18F5FE110766FED533F9B214B1E711DE500001AF100F0950726573656E63652072656C61790CFFE90405010C000104680119000000000000"
1781801956861,"2026-06-18T18:59:16.861+0200","beacon","","-1","F3:6E:C9:45:67:45","-108","","","","protocol=; name=arrive_emi1; serviceData={00005242-0000-1000-8000-00805f9b34fb=4164F36EC94567450206060000}; manufacturerData=0xFFFF:0215FDA50693A4E24FB1AFCFC6EB07647825271B4CB9C9; adv=0201061AFFFFFF0215FDA50693A4E24FB1AFCFC6EB07647825271B4CB9C90D096172726976655F656D693100101642524164F36EC9456745020606000000"
1781801956864,"2026-06-18T18:59:16.864+0200","beacon","","-1","5A:41:71:9F:3C:48","-82","","","","protocol=; name=; serviceData=; manufacturerData=0x004C:090813960A0A82831B581608001F90159F3C5423; adv=02011A17FF4C00090813960A0A82831B581608001F90159F3C54230000000000000000000000000000000000000000000000000000000000000000000000"
1781801956868,"2026-06-18T18:59:16.868+0200","beacon","","-1","59:47:89:07:9A:06","-81","","","","protocol=; name=; serviceData=; manufacturerData=0x004C:1006051907726648; adv=02011A020A0C0BFF4C0010060519077266480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
