timestamp_ms,timestamp_iso,source,id,cardinality,address,rssi,x,y,z,notes
1781801988416,"2026-06-18T18:59:48.416+0200","beacon","","-1","6B:A7:E2:45:30:1F","-82","","","","protocol=; name=; serviceData=; manufacturerData=0x004C:0908130FC00000021B58160800FD170BB70750B0; adv=02011A17FF4C000908130FC00000021B58160800FD170BB70750B00000000000000000000000000000000000000000000000000000000000000000000000"
1781801988420,"2026-06-18T18:59:48.420+0200","beacon","","-1","F0:A6:21:74:15:5B","-80","","","","protocol=; name=arrive_emi2; serviceData={00005242-0000-1000-8000-00805f9b34fb=4164F0A62174155B0206060000}; manufacturerData=0xFFFF:0215FDA50693A4E24FB1AFCFC6EB07647825271B4CB9C9; adv=0201061AFFFFFF0215FDA50693A4E24FB1AFCFC6EB07647825271B4CB9C90D096172726976655F656D693200101642524164F0A62174155B020606000000"
1781801988423,"2026-06-18T18:59:48.423+0200","beacon","","-1","28:60:63:61:2F:84","-75","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:0109200264B718E4DD3390E4903F8D2A209177F8A2132FAE74809A; adv=1EFF06000109200264B718E4DD3390E4903F8D2A209177F8A2132FAE74809A00000000000000000000000000000000000000000000000000000000000000"
1781801988425,"2026-06-18T18:59:48.425+0200","beacon","","-1","20:6A:23:CA:9D:D7","-89","","","","protocol=; name=; serviceData={0000fef3-0000-1000-8000-00805f9b34fb=4A1723454B30371116924E387834B746EE64EBB0B5AC6D326C20E2}; manufacturerData=; adv=1E16F3FE4A1723454B30371116924E387834B746EE64EBB0B5AC6D326C20E200000000000000000000000000000000000000000000000000000000000000"
1781801988428,"2026-06-18T18:59:48.428+0200","beacon","","-1","50:30:97:57:06:EC","-93","","","","protocol=; name=; serviceData=; manufacturerData=0x004C:100513189086B1; adv=02011A020A110AFF4C00100513189086B1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
1781801988442,"2026-06-18T18:59:48.442+0200","beacon","","-1","4C:45:9D:C2:0C:63","-99","","","","protocol=; name=LE_WH-1000XM5; serviceData=; manufacturerData=; adv=030303FE0E094C455F57482D31303030584D3500000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
1781801988444,"2026-06-18T18:59:48.444+0200","beacon","","-1","34:C7:F6:5F:9B:5B","-91","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:01092022B7D473980E66D8C110882DC0A02C3CC2250C086EAC64B1; adv=1EFF060001092022B7D473980E66D8C110882DC0A02C3CC2250C086EAC64B100000000000000000000000000000000000000000000000000000000000000"
1781801988455,"2026-06-18T18:59:48.455+0200","beacon","","-1","3B:3A:81:39:C5:26","-79","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:01092022FF33FDDF0652B8E3B861C27260464FB7C1C4A89CF6D5CF; adv=1EFF060001092022FF33FDDF0652B8E3B861C27260464FB7C1C4A89CF6D5CF00000000000000000000000000000000000000000000000000000000000000"
1781801988458,"2026-06-18T18:59:48.458+0200","beacon","","-1","3E:28:E2:53:EB:0A","-82","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:010920225EB55D3E3F76577223EA4DEA5C1570015B7F0FB03EED93; adv=1EFF0600010920225EB55D3E3F76577223EA4DEA5C1570015B7F0FB03EED9300000000000000000000000000000000000000000000000000000000000000"
1781801988461,"2026-06-18T18:59:48.461+0200","beacon","","-1","27:54:A0:77:2D:EF","-89","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:01092022D377D9F980187132FCDF795611D2606C09C8EE30F72E95; adv=1EFF060001092022D377D9F980187132FCDF795611D2606C09C8EE30F72E9500000000000000000000000000000000000000000000000000000000000000"
1781801988463,"2026-06-18T18:59:48.463+0200","beacon","","-1","15:CE:13:72:A3:78","-93","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:01092022F1EC6FED8BD79087456EA41886BF8972DA070ADA97FBFB; adv=1EFF060001092022F1EC6FED8BD79087456EA41886BF8972DA070ADA97FBFB00000000000000000000000000000000000000000000000000000000000000"
1781801988466,"2026-06-18T18:59:48.466+0200","beacon","","-1","3D:12:BA:8F:74:BC","-40","","","","protocol=; name=; serviceData={0000fcf1-0000-1000-8000-00805f9b34fb=04CF597300810BAD0C3F45362B82A41A553E9612EC}; manufacturerData=; adv=0201021816F1FC04CF597300810BAD0C3F45362B82A41A553E9612EC00000000000000000000000000000000000000000000000000000000000000000000"
1781801988471,"2026-06-18T18:59:48.471+0200","beacon","","-1","30:51:19:A7:79:E1","-88","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:01092022089997C5F9853C5C41545EE55F84ECA7B36D925FDCC601; adv=1EFF060001092022089997C5F9853C5C41545EE55F84ECA7B36D925FDCC60100000000000000000000000000000000000000000000000000000000000000"
1781801988496,"2026-06-18T18:59:48.496+0200","beacon","","-1","32:16:B1:B0:D6:4D","-89","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:01092022304BC0199C10CDFA4AD3C734549BA0990DC73339AF1BB0; adv=1EFF060001092022304BC0199C10CDFA4AD3C734549BA0990DC73339AF1BB000000000000000000000000000000000000000000000000000000000000000"
1781801988500,"2026-06-18T18:59:48.500+0200","beacon","","-1","C6:69:E6:3E:A8:C2","-97","","","","protocol=; name=WHOOP 4C1378582; serviceData=; manufacturerData=; adv=02010603030D18100957484F4F50203443313337383538320000000000000000000000000000000000000000000000000000000000000000000000000000"
1781801988502,"2026-06-18T18:59:48.502+0200","beacon","","-1","72:0D:82:A0:D7:C2","-85","","","","protocol=; name=; serviceData=; manufacturerData=0x004C:1006451D824A0D18; adv=02011A020A0C0BFF4C001006451D824A0D180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
1781801988504,"2026-06-18T18:59:48.504+0200","beacon","","-1","70:F5:EB:7E:0A:C1","-85","","","","protocol=; name=; serviceData=; manufacturerData=0x004C:1006451D824A0D18; adv=02011A020A0C0BFF4C001006451D824A0D180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
1781801988527,"2026-06-18T18:59:48.527+0200","beacon","","-1","20:6A:23:CA:9D:D7","-90","","","","protocol=; name=; serviceData={0000fef3-0000-1000-8000-00805f9b34fb=4A1723454B30371116924E387834B746EE64EBB0B5AC6D326C20E2}; manufacturerData=; adv=1E16F3FE4A1723454B30371116924E387834B746EE64EBB0B5AC6D326C20E200000000000000000000000000000000000000000000000000000000000000"
1781801988530,"2026-06-18T18:59:48.530+0200","beacon","","-1","79:44:E8:59:C2:20","-82","","","","protocol=; name=; serviceData=; manufacturerData=0x004C:1006051907726648; adv=02011A020A0C0BFF4C0010060519077266480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
